Year,Subject,Movie,Nominations,Link
1955,Elia Kazan, On the Waterfront,12,http://www.imdb.com/title/tt0047296/?ref_=nv_sr_1
1954,Fred Zinnemann, From Here to Eternity,13,http://www.imdb.com/title/tt0045793/?ref_=nv_sr_1
1953,John Ford, The Quiet Man,7,http://www.imdb.com/title/tt0045061/?ref_=nv_sr_1
1952,George Stevens, A Place in the Sun,9,http://www.imdb.com/title/tt0043924/?ref_=nv_sr_1
1951,Joseph L. Mankiewicz, All About Eve,14,http://www.imdb.com/title/tt0042192/?ref_=nv_sr_1
1950,Joseph L. Mankiewicz, A Letter to Three Wives,3,http://www.imdb.com/title/tt0041587/?ref_=nv_sr_1
1949,John Huston, The Treasure of the Sierra Madre,4,http://www.imdb.com/title/tt0040897/?ref_=nv_sr_1
1948,Elia Kazan, Gentleman's Agreement,8,http://www.imdb.com/title/tt0039416/?ref_=nv_sr_1
1947,William Wyler, The Best Years of Our Lives,8,http://www.imdb.com/title/tt0036868/?ref_=nv_sr_1
1946,Billy Wilder, The Lost Weekend,7,http://www.imdb.com/title/tt0037884/?ref_=nv_sr_1
1945,Leo McCarey, Going My Way,10,http://www.imdb.com/title/tt0036872/?ref_=nv_sr_1
1944,Michael Curtiz, Casablanca,8,http://www.imdb.com/title/tt0034583/?ref_=nv_sr_1
1943,William Wyler, Mrs. Miniver,12,http://www.imdb.com/title/tt0035093/?ref_=nv_sr_1
1942,John Ford, How Green Was My Valley,10,http://www.imdb.com/title/tt0033729/?ref_=nv_sr_1
1941,John Ford, The Grapes of Wrath,7,http://www.imdb.com/title/tt0032551/?ref_=nv_sr_1
1940,Victor Fleming, Gone With the Wind,13,http://www.imdb.com/title/tt0031381/?ref_=nv_sr_1
1939,Frank Capra, You Can't Take it With You,7,http://www.imdb.com/title/tt0030993/?ref_=nv_sr_1
1938,Leo McCarey, The Awful Truth,6,http://www.imdb.com/title/tt0028597/?ref_=nv_sr_1
1937,Frank Capra, Mr. Deeds Goes to Town,5,http://www.imdb.com/title/tt0027996/?ref_=nv_sr_1
1936,John Ford, The Informer,6,http://www.imdb.com/title/tt0026529/?ref_=fn_al_tt_1
1935,Frank Capra, It Happened One Night,5,http://www.imdb.com/title/tt0025316/?ref_=nv_sr_1
1934,Frank Lloyd, Cavalcade,4,http://www.imdb.com/title/tt0023876/?ref_=fn_al_tt_1
1932,Frank Borzage, Bad Girl,3,http://www.imdb.com/title/tt0021635/?ref_=fn_al_tt_1
1931,Norman Taurog, Skippy,4,http://www.imdb.com/title/tt0022397/?ref_=fn_al_tt_2
1930,Lewis Milestone, All Quiet on the Western Front,4,http://www.imdb.com/title/tt0020629/?ref_=nv_sr_1
1929,Frank Lloyd, The Divine Lady,3,http://www.imdb.com/title/tt0019824/?ref_=fn_al_tt_1
