Year,Subject,Movie,Nominations,Link
1955,Marlon Brando, On the Waterfront,12,http://www.imdb.com/title/tt0047296/?ref_=nv_sr_1
1954,William Holden, Stalag 17,3,http://www.imdb.com/title/tt0046359/?ref_=nv_sr_1
1953,Gary Cooper, High Noon,7,http://www.imdb.com/title/tt0044706/?ref_=nv_sr_1
1952,Humphrey Bogart, The African Queen,4,http://www.imdb.com/title/tt0043265/?ref_=nv_sr_1
1951,José Ferrer, Cyrano de Bergerac, ,http://www.imdb.com/title/tt0042367/?ref_=fn_al_tt_2
1950,Broderick Crawford, All the King's Men,7,http://www.imdb.com/title/tt0041113/?ref_=nv_sr_2
1949,Laurence Olivier, Hamlet,7,http://www.imdb.com/title/tt0040416/?ref_=nv_sr_5
1948,Ronald Colman, A Double Life,4,http://www.imdb.com/title/tt0039335/?ref_=fn_al_tt_1
1947,Fredric March, The Best Years of Our Lives,8,http://www.imdb.com/title/tt0036868/?ref_=nv_sr_1
1946,Ray Milland, The Lost Weekend,7,http://www.imdb.com/title/tt0037884/?ref_=nv_sr_1
1945,Bing Crosby, Going My Way,10,http://www.imdb.com/title/tt0036872/?ref_=nv_sr_1
1944,Paul Lukas, Watch on the Rhine,4,http://www.imdb.com/title/tt0036515/?ref_=fn_al_tt_1
1943,James Cagney, Yankee Doodle Dandy,8,http://www.imdb.com/title/tt0035575/?ref_=nv_sr_1
1942,Gary Cooper, Sergeant York,11,http://www.imdb.com/title/tt0034167/?ref_=nv_sr_1
1941,James Stewart, The Philadelphia Story,6,http://www.imdb.com/title/tt0032904/?ref_=nv_sr_1
1940,Robert Donat, Goodbye Mr. Chips,7,http://www.imdb.com/title/tt0031385/?ref_=nv_sr_1
1939,Spencer Tracy, Boys Town,5,http://www.imdb.com/title/tt0029942/?ref_=fn_al_tt_1
1938,Spencer Tracy, Captains Courageous,4,http://www.imdb.com/title/tt0028691/?ref_=nv_sr_1
1937,Paul Muni, The Story of Louis Pasteur,4,http://www.imdb.com/title/tt0028313/?ref_=fn_al_tt_1
1936,Victor McLaglen, The Informer,6,http://www.imdb.com/title/tt0026529/?ref_=fn_al_tt_1
1935,Clark Gable, It Happened One Night,5,http://www.imdb.com/title/tt0025316/?ref_=nv_sr_1
1934,Charles Laughton, The Private Life of Henry VIII,2,http://www.imdb.com/title/tt0024473/?ref_=fn_al_tt_1
1932,Wallace Beery, The Champ,4,http://www.imdb.com/title/tt0021730/?ref_=fn_al_tt_3
1931,Lionel Barrymore, A Free Soul,3,http://www.imdb.com/title/tt0021885/?ref_=fn_al_tt_1
1930,George Arliss, Disraeli,3,http://www.imdb.com/title/tt0019823/?ref_=fn_al_tt_1
1929,Warner Baxter, In Old Arizona,5,http://www.imdb.com/title/tt0020018/?ref_=fn_al_tt_1
1928,Emil Jannings, The Last Command,2,http://www.imdb.com/title/tt0019071/?ref_=fn_al_tt_1
