Year,Actor,Movie,Nominations,Link
1955,Grace Kelly, The Country Girl,7,http://www.imdb.com/title/tt0046874/?ref_=fn_al_tt_1
1954,Audrey Hepburn, Roman Holiday,10,http://www.imdb.com/title/tt0046250/?ref_=nv_sr_1
1953,Shirley Booth, Come Back Little Sheba,3,http://www.imdb.com/title/tt0044509/?ref_=fn_al_tt_1
1952,Vivien Leigh, A Streetcar Named Desire,12,http://www.imdb.com/title/tt0044081/?ref_=nv_sr_1
1951,Judy Holliday, Born Yesterday,5,http://www.imdb.com/title/tt0042276/?ref_=fn_al_tt_1
1950,Olivia de Havilland, The Heiress,8,http://www.imdb.com/title/tt0041452/?ref_=nv_sr_1
1949,Jane Wyman, Johnny Belinda,12,http://www.imdb.com/title/tt0040495/?ref_=nv_sr_1
1948,Loretta Young, The Farmer's Daughter,2,http://www.imdb.com/title/tt0039370/?ref_=fn_al_tt_1
1947,Olivia de Havilland, To Each His Own,2,http://www.imdb.com/title/tt0039040/?ref_=fn_al_tt_1
1946,Joan Crawford, Mildred Pierce,6,http://www.imdb.com/title/tt0037913/?ref_=nv_sr_2
1945,Ingrid Bergman, Gaslight,7,http://www.imdb.com/title/tt0036855/?ref_=nv_sr_1
1944,Jennifer Jones, The Song of Bernadette,12,http://www.imdb.com/title/tt0036377/?ref_=nv_sr_1
1943,Greer Garson, Mrs. Miniver,12,http://www.imdb.com/title/tt0035093/?ref_=nv_sr_1
1942,Joan Fontaine, Suspicion,3,http://www.imdb.com/title/tt0034248/?ref_=nv_sr_2
1941,Ginger Rogers, Kitty Foyle: The Natural History of a Woman,5,http://www.imdb.com/title/tt0032671/
1940,Vivien Leigh, Gone With the Wind,13,http://www.imdb.com/title/tt0031381/?ref_=nv_sr_1
1939,Bette Davis, Jezebel,5,http://www.imdb.com/title/tt0030287/?ref_=nv_sr_1
1938,Luise Rainer, The Good Earth,5,http://www.imdb.com/title/tt0028944/?ref_=nv_sr_1
1937,Luise Rainer, The Great Ziegfeld,7,http://www.imdb.com/title/tt0027698/?ref_=nv_sr_1
1936,Bette Davis, Dangerous, ,http://www.imdb.com/title/tt0026261/?ref_=fn_al_tt_1
1935,Claudette Colbert, It Happened One Night,5,http://www.imdb.com/title/tt0025316/?ref_=nv_sr_1
1934,Katharine Hepburn, Morning Glory, ,http://www.imdb.com/title/tt0024353/?ref_=fn_al_tt_2
1932,Helen Hayes, The Sin of Madelon Claudet, ,http://www.imdb.com/title/tt0022386/?ref_=fn_al_tt_1
1931,Marie Dressler, Min and Bill, ,http://www.imdb.com/title/tt0021148/?ref_=fn_al_tt_1
1930,Norma Shearer, The Divorcee,4,http://www.imdb.com/title/tt0020827/?ref_=fn_al_tt_1
1929,Mary Pickford, Coquette, ,http://www.imdb.com/title/tt0019788/?ref_=fn_al_tt_1
1928,Janet Gaynor, Seventh Heaven (7th Heaven),5,http://www.imdb.com/title/tt0018379/?ref_=fn_al_tt_10
